ticker,10日平均売買代金,10日中央値売買代金,除外,銘柄名,市場・商品区分,33業種区分
9644.T,35731910.0,34747700.0,True,タナベコンサルティンググループ,プライム（内国株式）,サービス業
9647.T,2324900.0,1016000.0,True,協和コンサルタンツ,スタンダード（内国株式）,サービス業
9651.T,20577680.0,17255850.0,True,日本プロセス,スタンダード（内国株式）,情報・通信業
9656.T,2960660.0,2610150.0,True,グリーンランドリゾート,スタンダード（内国株式）,サービス業
9658.T,87228930.0,86663750.0,True,ビジネスブレイン太田昭和,プライム（内国株式）,情報・通信業
9661.T,46043350.0,34924000.0,True,歌舞伎座,スタンダード（内国株式）,サービス業
9663.T,125785750.0,98532000.0,True,ナガワ,プライム（内国株式）,サービス業
9672.T,286774150.0,258671750.0,False,東京都競馬,プライム（内国株式）,サービス業
9678.T,510721100.0,466529500.0,False,カナモト,プライム（内国株式）,サービス業
9679.T,2334870.0,1728200.0,True,ホウライ,スタンダード（内国株式）,サービス業
9682.T,477437980.0,418350000.0,False,ＤＴＳ,プライム（内国株式）,情報・通信業
9684.T,3393498895.0,3238931400.0,False,スクウェア・エニックス・ホールディングス,プライム（内国株式）,情報・通信業
9685.T,1292570.0,1107150.0,True,ＫＹＣＯＭホールディングス,スタンダード（内国株式）,情報・通信業
9686.T,4730020.0,4208400.0,True,東洋テック,スタンダード（内国株式）,サービス業
9687.T,6219050.0,6772500.0,True,ＫＳＫ,スタンダード（内国株式）,情報・通信業
9691.T,103200.0,0.0,True,両毛システムズ,スタンダード（内国株式）,情報・通信業
9692.T,349165180.0,332733500.0,False,シーイーシー,プライム（内国株式）,情報・通信業
9697.T,13504091650.0,12114118800.0,False,カプコン,プライム（内国株式）,情報・通信業
9698.T,1616490.0,1228350.0,True,クレオ,スタンダード（内国株式）,情報・通信業
9699.T,282584400.0,262321250.0,False,ニシオホールディングス,プライム（内国株式）,サービス業
9701.T,3935900.0,3611250.0,True,東京會舘,スタンダード（内国株式）,サービス業
9702.T,43453220.0,36884450.0,True,アイ・エス・ビー,プライム（内国株式）,情報・通信業
9704.T,10862880.0,5681500.0,True,アゴーラ　ホスピタリティー　グループ,スタンダード（内国株式）,サービス業
9706.T,6819928810.0,4955167750.0,False,日本空港ビルデング,プライム（内国株式）,不動産業
9708.T,177538950.0,175392400.0,False,帝国ホテル,スタンダード（内国株式）,サービス業
9709.T,15009380.0,13273950.0,True,ＮＣＳ＆Ａ,スタンダード（内国株式）,情報・通信業
9713.T,4013260.0,4078550.0,True,ロイヤルホテル,スタンダード（内国株式）,サービス業
9715.T,438527250.0,462076000.0,False,トランス・コスモス,プライム（内国株式）,サービス業
9716.T,367507780.0,325149000.0,False,乃村工藝社,プライム（内国株式）,サービス業
9720.T,707300.0,638500.0,True,ホテル、ニューグランド,スタンダード（内国株式）,サービス業
9722.T,747721270.0,658093800.0,False,藤田観光,プライム（内国株式）,サービス業
9723.T,1489490.0,1044450.0,True,京都ホテル,スタンダード（内国株式）,サービス業
9726.T,65521080.0,55395550.0,True,ＫＮＴ－ＣＴホールディングス,スタンダード（内国株式）,サービス業
9729.T,73301820.0,76867750.0,True,トーカイ,プライム（内国株式）,サービス業
9731.T,5661050.0,4575500.0,True,白洋舎,スタンダード（内国株式）,サービス業
9733.T,28892570.0,27304400.0,True,ナガセ,スタンダード（内国株式）,サービス業
9735.T,7872818060.0,7388535050.0,False,セコム,プライム（内国株式）,サービス業
9739.T,52299860.0,53269250.0,True,ＮＳＷ,プライム（内国株式）,情報・通信業
9740.T,48393260.0,46273150.0,True,セントラル警備保障,プライム（内国株式）,サービス業
